,Outcomes_bool
0,1.0
1,1.0
3,0.0
5,0.0
9,1.0
16,1.0
17,1.0
18,1.0
19,0.0
20,0.0
21,0.0
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
30,1.0
31,1.0
32,0.0
33,0.0
34,0.0
35,0.0
37,1.0
38,0.0
39,1.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
55,0.0
56,1.0
61,0.0
66,1.0
68,0.0
70,0.0
71,0.0
82,0.0
85,1.0
86,1.0
87,0.0
92,1.0
94,0.0
104,0.0
107,0.0
108,1.0
109,1.0
110,1.0
111,1.0
112,1.0
113,1.0
114,1.0
115,1.0
116,1.0
117,1.0
124,0.0
125,0.0
130,0.0
131,0.0
132,1.0
133,1.0
142,0.0
147,0.0
168,1.0
169,1.0
170,1.0
174,0.0
176,0.0
177,0.0
179,0.0
183,1.0
184,0.0
192,1.0
193,1.0
199,0.0
200,0.0
201,1.0
202,1.0
206,0.0
207,0.0
208,0.0
209,0.0
223,0.0
230,1.0
231,1.0
234,0.0
235,0.0
243,0.0
244,0.0
248,0.0
250,1.0
251,0.0
267,1.0
290,0.0
291,0.0
302,0.0
303,1.0
304,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,1.0
317,1.0
321,1.0
322,1.0
323,1.0
324,1.0
325,0.0
326,0.0
327,0.0
330,0.0
336,0.0
337,0.0
340,0.0
342,0.0
345,0.0
346,0.0
363,0.0
372,0.0
373,1.0
374,0.0
375,0.0
376,1.0
383,0.0
384,1.0
391,1.0
392,1.0
393,1.0
400,0.0
403,0.0
408,0.0
410,1.0
411,1.0
412,0.0
416,0.0
417,0.0
423,0.0
424,1.0
428,0.0
429,0.0
436,0.0
444,0.0
445,0.0
455,0.0
456,1.0
457,1.0
458,1.0
459,1.0
460,0.0
461,0.0
463,0.0
466,0.0
471,0.0
472,0.0
476,1.0
483,0.0
491,0.0
499,0.0
500,0.0
503,0.0
508,1.0
509,1.0
510,1.0
511,1.0
512,1.0
514,0.0
517,1.0
518,1.0
519,1.0
520,1.0
523,1.0
526,0.0
530,1.0
533,0.0
535,1.0
536,1.0
537,0.0
538,1.0
539,1.0
540,0.0
541,0.0
542,0.0
543,1.0
544,0.0
557,0.0
558,0.0
567,0.0
568,1.0
569,0.0
571,1.0
572,1.0
573,0.0
574,0.0
576,1.0
578,1.0
579,0.0
580,1.0
581,0.0
